"","YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEICP","PUMA","STRATA","GQ","HHINCOME","PERNUM","PERWT","NCHLT5","YNGCH","SEX","AGE","MARST","RACE","RACED","BPL","BPLD","SCHOOL","EDUC","EDUCD","GRADEATT","GRADEATTD","OCC","INCTOT","MYEDUC","married","white","black","asian","otherormixedrace","enrolled","bachelor","associates_or_up","postgrad"
"1",2000,200001,5359750,NA,10,2000053597501,98,101,72,1,51000,2,11,1,3,2,29,1,9,907,6,600,1,6,65,0,0,500,22000,13,1,0,0,0,1,0,0,0,0
"2",2000,200001,5359758,NA,13,2000053597581,98,101,60,1,178000,1,13,0,12,2,57,1,1,100,25,2500,1,11,114,0,0,231,39000,19,1,1,0,0,0,0,1,1,1
"3",2000,200001,5359763,NA,21,2000053597631,98,101,60,1,140000,2,26,0,11,2,42,1,1,100,18,1800,1,11,115,0,0,0,25000,20,1,1,0,0,0,0,1,1,1
"4",2000,200001,5359775,NA,19,2000053597751,98,101,61,1,77680,1,16,0,11,2,52,1,1,100,6,600,1,11,115,0,0,210,72000,20,1,1,0,0,0,0,1,1,1
"5",2000,200001,5359779,NA,16,2000053597791,98,101,84,1,234100,1,21,0,17,2,47,4,6,610,521,52100,1,11,116,0,0,220,234000,24,0,0,0,1,0,0,1,1,1
"6",2000,200001,5359795,NA,18,2000053597951,98,101,72,1,72000,1,20,0,9,2,42,2,1,100,421,42100,1,6,62,0,0,570,72000,13,0,1,0,0,0,0,0,0,0
"7",2000,200001,5359796,NA,18,2000053597961,98,101,60,1,177000,2,15,1,0,2,32,1,1,100,34,3400,1,10,101,0,0,462,12000,17,1,1,0,0,0,0,1,1,0
"8",2000,200001,5359804,NA,19,2000053598041,98,101,60,1,520000,1,29,0,8,2,53,1,1,100,33,3300,1,11,114,0,0,1,112000,19,1,1,0,0,0,0,1,1,1
"9",2000,200001,5359808,NA,18,2000053598081,98,101,60,1,15000,1,18,0,11,2,33,3,1,100,465,46530,1,10,101,0,0,485,15000,17,0,1,0,0,0,0,1,1,0
"10",2000,200001,5359823,NA,23,2000053598231,98,101,60,1,455000,2,23,0,6,2,36,1,1,100,150,15000,1,6,65,0,0,281,55000,13,1,1,0,0,0,0,0,0,0
"11",2000,200001,5359826,NA,26,2000053598261,98,101,60,1,142000,2,21,1,1,2,36,1,1,100,36,3600,1,10,101,0,0,282,92000,17,1,1,0,0,0,0,1,1,0
"12",2000,200001,5359830,NA,18,2000053598301,98,101,60,1,360800,2,18,1,4,2,39,1,1,100,11,1100,1,10,101,0,0,0,0,17,1,1,0,0,0,0,1,1,0
"13",2000,200001,5359839,NA,20,2000053598391,98,101,36,1,366000,1,43,2,1,2,37,1,7,700,17,1700,1,11,115,0,0,210,41000,20,1,0,0,0,1,0,1,1,1
"14",2000,200001,5359843,NA,18,2000053598431,98,101,60,1,325000,2,21,1,1,2,36,1,1,100,20,2000,1,10,101,0,0,0,0,17,1,1,0,0,0,0,1,1,0
"15",2000,200001,5359848,NA,18,2000053598481,98,101,108,1,117000,2,46,0,13,2,58,1,2,200,51,5100,1,7,71,0,0,43,117000,14,1,0,1,0,0,0,0,0,0
"16",2000,200001,5359866,NA,18,2000053598661,98,101,60,1,177000,1,11,0,14,2,53,5,1,100,36,3600,1,10,101,0,0,263,177000,17,0,1,0,0,0,0,1,1,0
"17",2000,200001,5359878,NA,26,2000053598781,98,101,61,1,415300,2,20,1,2,2,44,1,1,100,36,3600,1,11,114,0,0,80,85000,19,1,1,0,0,0,0,1,1,1
"18",2000,200001,5359884,NA,16,2000053598841,98,101,60,1,523000,1,15,0,9,2,42,1,1,100,24,2400,1,11,116,0,0,35,33000,24,1,1,0,0,0,0,1,1,1
"19",2000,200001,5359902,NA,26,2000053599021,98,101,60,1,91600,1,24,0,9,2,43,4,1,100,300,30015,2,7,71,6,60,43,91600,14,0,1,0,0,0,1,0,0,0
"20",2000,200001,5359918,NA,26,2000053599181,98,101,60,1,466020,1,28,0,14,2,54,1,1,100,55,5500,1,10,101,0,0,231,0,17,1,1,0,0,0,0,1,1,0
"21",2000,200001,5359921,NA,18,2000053599211,98,101,96,1,38000,2,32,2,3,2,34,1,8,884,521,52100,1,10,101,0,0,772,16000,17,1,0,0,0,1,0,1,1,0
"22",2000,200001,5359932,NA,21,2000053599321,98,101,72,1,386000,2,13,0,9,2,35,1,1,100,11,1100,1,10,101,0,0,283,30000,17,1,1,0,0,0,0,1,1,0
"23",2000,200001,5359945,NA,15,2000053599451,98,101,60,1,195900,1,15,0,12,2,48,1,1,100,11,1100,1,11,115,0,0,306,85800,20,1,1,0,0,0,0,1,1,1
"24",2000,200001,5359960,NA,31,2000053599601,98,101,60,1,115000,2,18,0,13,2,49,1,1,100,200,20000,1,11,116,0,0,0,0,24,1,1,0,0,0,0,1,1,1
"25",2000,200001,5359977,NA,26,2000053599771,98,101,72,1,50000,1,26,0,14,2,50,6,1,100,24,2400,1,6,62,0,0,263,30000,13,0,1,0,0,0,0,0,0,0
"26",2000,200001,5359996,NA,8,2000053599961,98,101,60,1,440030,1,7,0,12,2,51,1,1,100,29,2900,1,11,115,0,0,210,106000,20,1,1,0,0,0,0,1,1,1
"27",2000,200001,5359999,NA,18,2000053599991,98,101,60,1,146800,2,23,1,0,2,37,1,1,100,39,3900,2,10,101,6,60,80,51400,17,1,1,0,0,0,1,1,1,0
"28",2000,200001,5360007,NA,31,2000053600071,98,101,72,1,1e+05,2,31,2,0,2,31,1,1,100,27,2700,1,10,101,0,0,231,0,17,1,1,0,0,0,0,1,1,0
"29",2000,200001,5360008,NA,16,2000053600081,98,101,60,1,345100,2,15,0,7,2,38,1,1,100,34,3400,1,11,114,0,0,0,0,19,1,1,0,0,0,0,1,1,1
"30",2000,200001,5360012,NA,23,2000053600121,98,101,60,1,91300,2,15,1,2,2,33,1,1,100,36,3600,1,11,114,0,0,80,15800,19,1,1,0,0,0,0,1,1,1
"31",2000,200001,5360015,NA,18,2000053600151,98,101,60,1,349300,2,18,0,5,2,38,1,1,100,11,1100,1,11,114,0,0,0,300,19,1,1,0,0,0,0,1,1,1
"32",2000,200001,5360023,NA,18,2000053600231,98,101,84,1,109000,2,38,2,0,2,34,1,4,400,500,50010,1,11,114,0,0,180,57000,19,1,0,0,1,0,0,1,1,1
"33",2000,200001,5360041,NA,18,2000053600411,98,101,60,1,109000,2,18,2,0,2,38,1,1,100,6,600,1,11,114,0,0,281,104000,19,1,1,0,0,0,0,1,1,1
"34",2000,200001,5360050,NA,31,2000053600501,98,101,60,1,184000,2,34,0,15,2,50,1,1,100,11,1100,1,11,115,0,0,0,35000,20,1,1,0,0,0,0,1,1,1
"35",2000,200001,5360062,NA,15,2000053600621,98,101,60,1,464000,2,15,0,16,2,53,1,1,100,20,2000,1,11,115,0,0,282,337000,20,1,1,0,0,0,0,1,1,1
"36",2000,200001,5360068,NA,21,2000053600681,98,101,60,1,105000,2,18,2,1,2,40,1,1,100,425,42500,1,11,115,0,0,301,0,20,1,1,0,0,0,0,1,1,1
"37",2000,200001,5360072,NA,31,2000053600721,98,101,60,1,148000,1,36,1,4,2,38,1,8,856,53,5300,1,7,71,0,0,311,1e+05,14,1,0,0,0,1,0,0,0,0
